taxonName	siteName	x_mm	y_mm	z_mm	mass_mg
Pinguitellina robusta	2nd	6.73	5.39	1.45	31.48
Pinguitellina robusta	2nd	10.42	8.80	2.39	133.51
Tellinella virgata	2nd	9.78	6.02	1.36	20.32
Callista phasianella	2nd	15.29	13.07	4.85	730.26
Fragum fragum	2nd	6.08	5.96	2.18	35.90
Pinguitellina robusta	2nd	10.68	8.77	2.82	160.32
Pinguitellina robusta	2nd	7.99	6.54	1.76	68.97
Exotica clathrata	2nd	10.49	5.36	1.41	24.46
Exotica clathrata	2nd	10.21	5.42	1.19	22.41
Exotica clathrata	2nd	9.42	4.99	1.15	19.17
Exotica clathrata	2nd	10.27	5.89	1.12	14.88
Abranda jeanae	2nd	22.00	15.67	3.07	416.64
Abranda jeanae	2nd	12.35	8.56	1.76	48.51
Ambuscintilla praemium	2nd	6.55	4.23	1.02	3.32
Exotica clathrata	2nd	11.53	6.28	1.60	42.20
Exotica clathrata	2nd	11.78	6.55	1.70	47.96
Exotica clathrata	2nd	8.74	4.92	1.13	15.66
Exotica clathrata	2nd	10.19	5.39	1.32	23.54
Exotica clathrata	2nd	9.00	5.01	1.23	17.63
Scissulina dispar	2nd	11.02	6.57	1.50	37.82
Exotica clathrata	2nd	9.99	5.57	1.18	13.37
Abranda jeanae	2nd	19.56	13.49	3.14	264.68
Abranda jeanae	2nd	19.69	13.55	2.71	318.68
Abranda jeanae	2nd	10.03	6.72	1.58	26.71
Tellinella virgata	2nd	12.32	7.29	1.42	39.89
Fragum fragum	2nd	7.45	7.00	2.58	61.36
Exotica clathrata	2nd	9.23	4.96	1.45	25.46
Exotica clathrata	2nd	9.99	4.89	1.49	27.25
Pinguitellina robusta	2nd	8.91	7.30	2.15	95.14
Pinguitellina robusta	2nd	10.48	9.00	2.83	150.65
Exotica clathrata	2nd	12.84	6.76	1.80	69.13
Exotica clathrata	2nd	15.88	8.29	2.09	157.89
Exotica clathrata	2nd	12.36	6.92	1.69	59.95
Exotica clathrata	2nd	14.49	7.81	1.99	98.81
Exotica clathrata	2nd	12.84	7.18	1.91	76.93
Exotica clathrata	2nd	14.19	7.39	1.83	77.46
Exotica clathrata	2nd	14.44	7.69	1.99	92.32
Fragum fragum	2nd	8.93	8.43	2.80	85.68
Exotica virgulata	2nd	13.97	7.27	1.88	72.48
Exotica clathrata	2nd	11.10	6.08	1.49	38.66
Exotica clathrata	2nd	13.57	7.13	1.96	89.94
Exotica clathrata	2nd	13.79	7.38	1.84	84.29
Exotica clathrata	2nd	11.95	6.44	1.48	47.59
Exotica clathrata	2nd	12.95	6.91	1.70	52.94
Exotica clathrata	2nd	14.67	7.73	1.90	84.70
Abranda jeanae	2nd	7.22	4.55	1.10	10.15
Abranda jeanae	2nd	6.96	4.61	0.85	9.20
Pinguitellina robusta	2nd	12.43	10.10	3.20	250.84
Pinguitellina robusta	2nd	11.01	9.31	2.95	168.43
Fragum fragum	2nd	7.44	7.17	2.46	59.05
Fragum fragum	2nd	7.13	6.81	2.50	57.94
Fragum fragum	2nd	6.24	6.01	2.08	32.62
Pinguitellina robusta	2nd	10.87	9.13	3.06	187.94
Pinguitellina robusta	2nd	6.54	5.16	1.44	30.18
Pinguitellina robusta	2nd	5.49	4.49	1.12	17.21
Fragum fragum	2nd	8.15	7.59	2.93	91.73
Abranda jeanae	2nd	25.37	17.87	4.14	842.92
Abranda jeanae	2nd	11.19	7.76	1.53	39.25
Abranda jeanae	2nd	15.47	10.59	2.19	111.50
Abranda jeanae	2nd	11.61	7.74	1.67	38.80
Abranda jeanae	2nd	11.53	7.66	1.70	40.60
Exotica clathrata	2nd	10.67	5.93	1.52	33.28
Exotica clathrata	2nd	13.23	7.10	1.78	56.68
Exotica clathrata	2nd	11.17	5.75	1.40	37.38
Exotica clathrata	2nd	12.31	6.71	1.57	47.90
Exotica clathrata	2nd	13.81	7.02	1.82	81.25
Exotica clathrata	2nd	11.63	6.14	1.56	45.47
Exotica clathrata	2nd	12.31	6.27	1.54	44.75
Scissulina dispar	2nd	11.66	6.97	1.57	39.29
Exotica clathrata	2nd	15.00	8.05	2.00	90.98
Exotica clathrata	2nd	11.81	6.46	1.42	44.87
Exotica clathrata	2nd	10.29	5.68	1.39	36.01
Exotica clathrata	2nd	12.64	6.79	1.60	61.71
Exotica clathrata	2nd	11.89	6.51	1.52	50.16
Exotica clathrata	2nd	12.29	6.41	1.71	51.36
Exotica clathrata	2nd	12.74	6.89	1.71	73.69
Exotica clathrata	2nd	11.92	6.72	1.54	50.93
Exotica clathrata	2nd	8.77	4.91	1.10	16.21
Exotica clathrata	2nd	11.01	5.95	1.56	49.36
Exotica clathrata	2nd	15.05	7.82	1.91	101.84
